category,phenotype,phe_code,all_1_year_cases,all_1_year_noncases,all_1_year_hazards ratio,all_1_year_95% confidence interval (lower),all_1_year_95% confidence interval (upper),all_1_year_pvalue,new_1_year_cases,new_1_year_noncases,new_1_year_hazards ratio,new_1_year_95% confidence interval (lower),new_1_year_95% confidence interval (upper),new_1_year_pvalue
circulatory system,Elevated blood pressure reading without diagnosis of hypertension,402.0,2463.0,524806.0,5.722641104030568,3.9303803787411993,8.332176036363368,8.988262558170743e-20,2463.0,524806.0,5.722641104030568,3.9303803787411993,8.332176036363368,8.988262558170743e-20
circulatory system,Unstable angina (intermediate coronary syndrome),411.1,2587.0,524940.0,14.338815375956482,9.269793717376354,22.179741281660128,5.407214613802442e-33,2587.0,498296.0,15.583427185014898,10.077867524448152,24.09668535943164,4.938292115041452e-35
circulatory system,Myocardial infarction,411.2,11402.0,523983.0,82.55724264595385,65.10154827266446,104.6933367046318,2.4137215951035462e-290,11402.0,488569.0,93.7129224833418,73.90574714124925,118.82853742868454,2.1986740161139454e-307
circulatory system,Angina pectoris,411.3,4280.0,524378.0,19.966081858345916,15.248554596932824,26.1430958744349,4.4329647842193455e-105,4280.0,493776.0,21.60895765983597,16.51023391909074,28.28227955054313,6.1096256775624305e-111
circulatory system,Coronary atherosclerosis,411.4,9914.0,523512.0,27.02641151391435,22.25763237501151,32.81691902412259,6.328040691248105e-243,9914.0,475015.0,31.18114658813876,25.689164319969787,37.84723747495344,2.610158891127232e-265
circulatory system,Aneurysm and dissection of heart,411.41,1521.0,524901.0,4.094277003420577,2.68241486770393,6.249258599989536,6.434443063699962e-11,1521.0,515072.0,4.131958030339827,2.7089060579857245,6.302572624901174,4.514768943672872e-11
circulatory system,"Other chronic ischemic heart disease, unspecified",411.8,15580.0,523604.0,50.03290335524501,40.80977748555755,61.3404819235095, < 2.225E-308,15580.0,481851.0,55.9207642932972,45.63182325013608,68.52962815017867, < 2.225E-308
circulatory system,Other acute and subacute forms of ischemic heart disease,411.9,659.0,525137.0,10.12509508864845,5.209028955454373,19.68074115749095,8.674052005366839e-12,659.0,519750.0,10.414935815832315,5.355803675901283,20.25296194779827,4.997659155133368e-12
circulatory system,Other forms of chronic heart disease,414.0,11885.0,523774.0,52.1352971229768,42.039172150681175,64.6561068414624,7.396096040351972e-284,11885.0,481902.0,58.193757237768125,46.94632467468929,72.1358573842544,4.906102768112261e-301
circulatory system,Pulmonary heart disease,415.0,211.0,525253.0,21.933801636901023,5.416458842949597,88.82032859404835,1.5079093500780341e-05,211.0,508898.0,22.995915530251064,5.674985595170669,93.18299090035642,1.1245760274980829e-05
circulatory system,Chronic pulmonary heart disease,415.2,21.0,525281.0,37.6942901365822,1.318495015693039,1077.6373759395617,0.03387274913451187,21.0,519384.0,39.109354786789424,1.365841645623573,1119.852829747814,0.03218381032730631
circulatory system,Primary pulmonary hypertension,415.21,7780.0,524617.0,3.6692511363920857,2.6537561019379923,5.07333883927107,3.729577379056197e-15,7780.0,503471.0,4.112241702200587,2.9724891468285928,5.689013813678599,1.3598301358269615e-17
circulatory system,Cardiomegaly,416.0,3647.0,524848.0,19.944280832093003,13.526010130937598,29.408105868527795,1.479744768795506e-51,3647.0,468727.0,24.80203968936885,16.809098579829556,36.59572640564913,7.219818250459485e-59
circulatory system,Precordial pain,418.1,996.0,525119.0,50.93704601916538,26.72073475642423,97.09997426379825,7.225096926810211e-33,996.0,472546.0,61.25737848265637,32.12493376661258,116.80853401376804,7.87311028311984e-36
circulatory system,Myocarditis,420.1,2517.0,525069.0,103.10467741978714,57.20922224527225,185.81924537030164,1.1083262983226562e-53,2517.0,521640.0,104.2947626027151,57.88715092380636,187.9069419165924,5.415259044612398e-54
circulatory system,Pericarditis,420.2,14181.0,524149.0,17.045120530124468,13.391587041025234,21.69542213304598,1.8380995803854697e-117,14181.0,496196.0,18.95916540253086,14.89835541965845,24.126820889655196,1.6868524678560794e-126
circulatory system,Acute pericarditis,420.21,956.0,525195.0,9.957606897487691,4.252923993638254,23.31429747468191,1.1898440934409953e-07,956.0,519774.0,10.154822710079786,4.338048302744641,23.77115630729812,9.216800904686652e-08
circulatory system,Chronic pericarditis,420.22,395.0,525239.0,6.588753634862789,2.0108507646723703,21.588710223352013,0.001848167909982105,395.0,509341.0,7.027271980988466,2.144335837836187,23.02929915335308,0.0012838069046784732
circulatory system,Endocarditis,420.3,3320.0,524966.0,27.01212775905564,17.103707960017427,42.66063521297405,2.2378983870549107e-45,3320.0,511182.0,28.13847109984217,17.817493547838104,44.43798751551806,1.8011818651115203e-46
circulatory system,Cardiomyopathy,425.0,2469.0,525188.0,22.588367846818315,9.95070931456066,51.27618000422948,9.110941714879727e-14,2469.0,515773.0,23.23396412438324,10.242106036158605,52.70567274224305,5.1983850790196356e-14
circulatory system,Primary/intrinsic cardiomyopathies,425.1,47668.0,520972.0,20.997586469080225,18.54808729682787,23.77057162125305, < 2.225E-308,47668.0,490616.0,22.882900274835528,20.21952722657884,25.897100318930956, < 2.225E-308
circulatory system,Hypertrophic obstructive cardiomyopathy,425.11,2265.0,524986.0,9.163683858726376,5.72469257358663,14.668578405437684,2.73512646135823e-20,2265.0,521809.0,9.266832176055116,5.789726711020877,14.832164429403369,1.73457012701959e-20
circulatory system,Other hypertrophic cardiomyopathy,425.12,4589.0,524737.0,9.619189278771133,6.796959284366087,13.61326418324354,2.2342910192743513e-37,4589.0,520758.0,9.70961105649785,6.861708714133149,13.739514572264296,1.0663670109386947e-37
circulatory system,Secondary/extrinsic cardiomyopathies,425.2,4685.0,524974.0,5.760566092192701,3.612495312335613,9.185927962094851,1.9138124445817005e-13,4685.0,515700.0,5.933273818556465,3.721785416967049,9.458830712130576,7.264644484811983e-14
circulatory system,Other cardiomyopathy,425.8,18.0,525278.0,103.73462157156298,5.686655445090899,1892.302393999426,0.00172928692846955,18.0,524396.0,103.95142597678036,5.699917520364858,1895.7991802510064,0.0017194725924090345
circulatory system,Cardiac conduction disorders,426.0,16742.0,524025.0,0.1250512077228915,0.091431131607575,0.1710336980195284,1.0332896439591054e-38,16742.0,517380.0,0.126394723148092,0.0924241441248742,0.172851219678033,2.3247878926021016e-38
circulatory system,First degree AV block,426.21,934.0,525131.0,5.471444128128497,2.823901755214997,10.601183554614344,4.749264514323602e-07,934.0,514654.0,5.609629668518835,2.896100940960262,10.865624389284196,3.180373278063041e-07
circulatory system,Second degree AV block,426.23,4086.0,524770.0,0.5535675130406391,0.3625107925347994,0.8453182575649293,0.006181813393857677,4086.0,518831.0,0.5564110051989314,0.3644977306854228,0.8493693667840075,0.0065985104457152825
circulatory system,"Atrioventricular block, complete",426.24,11328.0,523793.0,0.4452803270579992,0.3453353206199938,0.5741508552004145,4.42247059537564e-10,11328.0,513955.0,0.4516017936306132,0.3503828574973059,0.5820609531730732,8.271101219932049e-10
circulatory system,Other heart block,426.25,474.0,525220.0,2.8711830669997607,1.0123059493471878,8.143478964578163,0.04737202347200653,474.0,523417.0,2.877728989331068,1.014793211440221,8.160602616057451,0.046858461196263565
circulatory system,Bundle branch block,426.3,635.0,525145.0,7.023924685459759,3.5417486063452635,13.929706331675638,2.405864416022145e-08,635.0,520897.0,7.080921779135754,3.570643713729985,14.04213280911808,2.1013822579356343e-08
circulatory system,Left bundle branch block,426.32,4606.0,524606.0,9.515468700339367,6.965387418333686,12.999154124408903,1.757910389163545e-45,4606.0,503852.0,10.12768607134312,7.412966092165599,13.836570123810317,6.523763193504675e-48
circulatory system,Anomalous atrioventricular excitation,426.4,430.0,525204.0,2.1983612633894065,0.8495959591908262,5.688341843073176,0.10438926743517155,430.0,524382.0,2.202190614320517,0.8509763404979408,5.698916962795528,0.10366815238636888
circulatory system,Cardiac pacemaker/device in situ,426.9,101.0,525264.0,1.6409060723287363,0.2593290582061628,10.382842388857036,0.5987945274309854,101.0,525264.0,1.6409060723287363,0.2593290582061628,10.382842388857036,0.5987945274309854
circulatory system,Cardiac pacemaker in situ,426.91,42748.0,519928.0,0.7714906484493659,0.6789800502110845,0.8766057566194841,6.869246245562181e-05,42748.0,519928.0,0.7714906484493659,0.6789800502110844,0.8766057566194841,6.869246245562257e-05
circulatory system,"Paroxysmal tachycardia, unspecified",427.1,492.0,525258.0,2.409490221629802,0.4882739074515468,11.890135924794931,0.2802469000106393,492.0,520913.0,2.431435994145264,0.4928612730071713,11.995020338185808,0.27523253899313427
circulatory system,Paroxysmal supraventricular tachycardia,427.11,14076.0,524051.0,8.024557083595806,6.359292878728591,10.125892550613548,6.086596515604776e-69,14076.0,507425.0,8.276588626008643,6.559865714849115,10.44257950724701,5.021095094081745e-71
circulatory system,Paroxysmal ventricular tachycardia,427.12,93830.0,518691.0,0.4877628099253643,0.4325617040921391,0.5500083722058062,1.0587409573769967e-31,93830.0,502783.0,0.5183032488321452,0.459651698219596,0.5844387365270131,7.701049989576587e-27
circulatory system,Other specified cardiac dysrhythmias,427.3,12221.0,523847.0,27.649063811499104,22.283389972320983,34.306751827344335,8.807593499770021e-200,12221.0,452857.0,31.94731813239716,25.748621530202666,39.63828256419127,1.8808192729570754e-217
circulatory system,Cardiac arrest,427.42,3303.0,524954.0,28.350661643526998,18.090684471109952,44.42949723153499,3.169262588246955e-48,3303.0,519837.0,28.9409792086078,18.4684592719286,45.351930294811375,8.211843788156652e-49
circulatory system,Arrhythmia (cardiac) NOS,427.5,3759.0,524817.0,3.750452914482865,2.546199797824288,5.5242707488125005,2.2331547044065414e-11,3759.0,469053.0,4.204908058918912,2.8551967942733905,6.192656078706777,3.5469815616107116e-13
circulatory system,Premature beats,427.6,8421.0,524391.0,3.88513864475623,2.938305575004523,5.137077102321136,1.6845620257700725e-21,8421.0,513142.0,3.958404215450568,2.994343805624858,5.2328539907350535,4.406001033515012e-22
circulatory system,Supraventricular premature beats,427.61,1378.0,525062.0,4.639233550782544,2.667683189370977,8.067857541877482,5.464957975697909e-08,1378.0,521402.0,4.642738656423291,2.6702023608082017,8.072430220353409,5.327813861895642e-08
circulatory system,Tachycardia NOS,427.7,22744.0,523178.0,146.77398474517045,120.86727830970828,178.23353763931976, < 2.225E-308,22744.0,465697.0,174.61566193905614,143.75583986939836,212.1001096172188, < 2.225E-308
circulatory system,Sinoatrial node dysfunction (Bradycardia),427.8,35294.0,521631.0,0.2933281823828563,0.2476816205530808,0.3473871916208278,7.788679038287507e-46,35294.0,510186.0,0.2959743125760334,0.2499820482785609,0.3504283379870538,2.502950445958025e-45
circulatory system,Palpitations,427.9,41498.0,520461.0,26.69982324767489,23.73474881268061,30.03531097309168, < 2.225E-308,41498.0,439477.0,29.7414896313184,26.43959664040828,33.455737525811244, < 2.225E-308
circulatory system,Heart failure NOS,428.2,30762.0,522114.0,187.61628414820632,159.6185133327814,220.52498386696465, < 2.225E-308,30762.0,472004.0,230.21552136958525,195.9051605836381,270.53491659727325, < 2.225E-308
circulatory system,Heart transplant/surgery,429.1,158223.0,519158.0,245.38338027604271,217.87151425398352,276.36932492929634, < 2.225E-308,158223.0,500710.0,269.91806641986113,239.76985509179508,303.8570572265808, < 2.225E-308
circulatory system,Intracranial hemorrhage,430.0,865.0,525196.0,40.96461535164402,17.183478501217408,97.65774204502654,5.473598305280421e-17,865.0,520813.0,41.34539901505936,17.33870347307551,98.59110990443932,4.682392765725062e-17
circulatory system,Subarachnoid hemorrhage,430.1,1540.0,525109.0,6.921387752196007,3.740501248043777,12.80726973191167,7.205041857007826e-10,1540.0,522471.0,6.958818400466271,3.760878231117574,12.876022714587608,6.447102341168289e-10
circulatory system,Intracerebral hemorrhage,430.2,2233.0,525028.0,10.048206541778672,6.060548943677955,16.659622031691796,3.7279622598164143e-19,2233.0,520235.0,10.128637576083042,6.108545379246549,16.794390935718173,2.8552713035491628e-19
circulatory system,Cerebrovascular disease,433.0,6266.0,524813.0,0.2312549471234556,0.1430230443340164,0.3739177194702807,2.337314720113205e-09,6266.0,507279.0,0.2404268599316272,0.1487137662498174,0.3887002288643423,6.053481282075391e-09
circulatory system,Occlusion and stenosis of precerebral arteries,433.1,71.0,525272.0,16.491583484756035,2.0193381767345358,134.68389245950053,0.00890068629944966,71.0,487543.0,17.59038001212926,2.1579297529769508,143.3881100829428,0.007396634762503686
circulatory system,Cerebral atherosclerosis,433.12,161.0,525261.0,5.388129218658913,1.0593857294657,27.404500239594636,0.042409398578615656,161.0,518694.0,5.498702768778163,1.0802748882413475,27.988924364049065,0.0400760064014614
circulatory system,Occlusion of cerebral arteries,433.2,44309.0,521789.0,3.2034059735214693,2.7759301383647266,3.696710406854175,3.843367134365228e-57,44309.0,486735.0,3.462721291947171,3.000332707010538,3.996369708495189,1.07379845247196e-64
circulatory system,"Cerebral artery occlusion, with cerebral infarction",433.21,10.0,525284.0,114.07951100591616,0.7310120717385701,17802.90002653083,0.06600877221988324,10.0,488991.0,125.64373047462476,0.7917445503675399,19938.687295355416,0.0615342448792113
circulatory system,Transient cerebral ischemia,433.31,5645.0,524492.0,1.9024590600169269,1.3966933624556306,2.591370856575877,4.5247176209926996e-05,5645.0,505048.0,1.9571388415316449,1.4368329693456572,2.6658578462159133,2.0572210253516023e-05
circulatory system,Moyamoya disease,433.32,574.0,525205.0,3.616907099271685,1.4306837226910334,9.143891663319826,0.006591092270512898,574.0,524834.0,3.618087309839904,1.4311420901250684,9.146929485164229,0.006577720634691692
circulatory system,Cerebral aneurysm,433.5,4994.0,524727.0,0.387676100030167,0.2548535268437947,0.5897221058538376,9.535314224084585e-06,4994.0,515538.0,0.3944537036858805,0.2593025257231658,0.6000470836817917,1.385089438076157e-05
circulatory system,Atherosclerosis,440.0,199.0,525270.0,0.259229779888858,0.0210462160876895,3.1929767565454568,0.29198451026920574,199.0,517319.0,0.2655534675688831,0.0215355950860225,3.274515696277516,0.3008994979458305
circulatory system,Atherosclerosis of renal artery,440.1,4405.0,525012.0,12.505475652605412,7.653135015310796,20.43436068814158,6.579012133094552e-24,4405.0,519954.0,12.80453757872446,7.837458359118892,20.91956028247393,2.4200628286640272e-24
circulatory system,Atherosclerosis of aorta,440.9,794.0,525171.0,3.328098868831593,1.5236536949355557,7.269527266946713,0.0025581733594825214,794.0,502203.0,3.557016933559337,1.6282996579182107,7.770295476082079,0.001458281901016775
circulatory system,Vascular insufficiency of intestine,441.0,258.0,525236.0,4.704703438297625,1.4663288639408918,15.095000164452696,0.009228541309752189,258.0,523819.0,4.715284710373842,1.4697486326880629,15.127695583714294,0.009122414444155963
circulatory system,Chronic vascular insufficiency of intestine,441.2,502.0,525233.0,1.5315101856116162,0.4592633303767483,5.107142881858257,0.48789087352167154,502.0,524468.0,1.5360756839665315,0.4606354125485533,5.122334155376171,0.4848551289007527
circulatory system,Other aneurysm,442.0,1771.0,525069.0,2.2425595263348144,1.250642180390508,4.021192718435836,0.006715533124476763,1771.0,515614.0,2.282336492233023,1.272684006315614,4.092971890845575,0.005620874439039794
circulatory system,Aortic aneurysm,442.1,7844.0,523748.0,3.873438251743064,3.1312802514657028,4.79149826434202,9.847156706654472e-36,7844.0,511271.0,3.93961213466329,3.1853634578749066,4.872456150401335,1.1916310751087405e-36
circulatory system,Abdominal aortic aneurysm,442.11,4722.0,524562.0,1.7581509644275135,1.270895753470944,2.432217438192949,0.0006551497308092798,4722.0,519598.0,1.7756433098645028,1.2836357467491797,2.456233531865516,0.0005238109556336914
circulatory system,Aneurysm of iliac artery,442.2,936.0,525183.0,0.8536663329919112,0.3454151695411611,2.109768974686029,0.731805220327546,936.0,522720.0,0.8552416326501421,0.3460612853779573,2.113609008355924,0.734804912607808
circulatory system,Aneurysm of artery of lower extremity,442.3,599.0,525209.0,0.9974095730907484,0.3536129268375227,2.813318691118351,0.9960883548645786,599.0,523477.0,1.0020841104880434,0.3552483060166312,2.8266779812472973,0.9968604429494575
circulatory system,Aneurysm of other specified artery,442.8,1528.0,525111.0,2.377746918993153,1.2438771169779628,4.545208150880064,0.008789849656624792,1528.0,521513.0,2.40095581419418,1.2560404492661523,4.589492977778564,0.008059272672795192
circulatory system,Peripheral angiopathy in diseases classified elsewhere,443.7,27.0,525282.0,19.863848044012265,0.5295349248870577,745.1301898543645,0.10605301369083371,27.0,516375.0,20.573252004580677,0.5488784351802777,771.1337719161156,0.10193991211130947
circulatory system,"Peripheral vascular disease, unspecified",443.9,39110.0,521135.0,3.906508413686385,3.430550918267344,4.448500648959975,6.765424748607278e-94,39110.0,488948.0,4.392616826637699,3.857655951801922,5.001763461214798,1.6730199056919736e-110
circulatory system,Arterial embolism and thrombosis,444.0,964.0,525184.0,9.445250192197625,4.222489623261906,21.12799773425889,4.586416937839862e-08,964.0,521037.0,9.559976084958448,4.273608417215399,21.385474246264117,3.8902400835070415e-08
circulatory system,Arterial embolism and thrombosis of lower extremity artery,444.1,367.0,525240.0,4.448619223859211,1.3171951104525277,15.024511434825117,0.016233270781921095,367.0,523236.0,4.482178416986976,1.326882048801536,15.140700245247464,0.015719769551165597
circulatory system,Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease),446.2,366.0,525179.0,817.5951359381512,297.5411536595186,2246.619662820344,1.1670477544216768e-38,366.0,524916.0,818.254717057926,297.8004406661147,2248.2867402409806,1.1310467265227226e-38
circulatory system,Hypersensitivity angiitis,446.3,146.0,525271.0,0.8709891095032344,0.0868872495088616,8.731108800904844,0.9065044198279193,146.0,522739.0,0.8762389179912875,0.0873802129009462,8.78682502493912,0.9105681687115286
circulatory system,Wegener's granulomatosis,446.4,254.0,525255.0,274.63176162959104,52.111319297807455,1447.336308350686,3.5443661497621106e-11,254.0,524630.0,275.5322755699348,52.2805420612572,1452.127921546667,3.455893890572543e-11
circulatory system,Giant cell arteritis,446.5,607.0,525201.0,2.5585185210750416,1.016098048906339,6.442308426563479,0.04616750259009462,607.0,523747.0,2.5677173033651366,1.0198252265633685,6.465002020217288,0.04532421853947517
circulatory system,Takayasu's disease,446.7,2374.0,525187.0,0.3391722705995206,0.1236286310431817,0.9305112268326692,0.03574358739486425,2374.0,524866.0,0.3390984019021216,0.1236029146399999,0.9302994715576138,0.03570459076664254
circulatory system,Thrombotic microangiopathy,446.8,2056.0,525192.0,57.76601479473582,24.362160665036185,136.9711213691596,3.304955918451172e-20,2056.0,523829.0,58.21632698506454,24.554383240702304,138.02589518982427,2.777886515842673e-20
circulatory system,Arteritis NOS,446.9,2514.0,525057.0,3.5171398213454,2.017029698660302,6.132915410769512,9.285418735120901e-06,2514.0,521768.0,3.5379479205424698,2.0288962625949583,6.169401422456882,8.439985249491511e-06
circulatory system,Other disorders of arteries and arterioles,447.0,6012.0,524466.0,5.112623755203228,3.831518646647582,6.822078677638387,1.4486652506428794e-28,6012.0,507585.0,5.37279341574981,4.027363088385861,7.16769470613939,2.8630509844612766e-30
circulatory system,Stricture of artery,447.1,1779.0,525132.0,0.69301784604788,0.3249941421891286,1.4777919740514902,0.3425608699693513,1779.0,509712.0,0.7259861644298126,0.3401970395945851,1.549266600237341,0.40767110779565974
circulatory system,Disease of capillaries,448.0,474.0,525217.0,0.1080346571083934,0.0279897754755337,0.4169910954352008,0.0012409999291550526,474.0,524179.0,0.108139075935749,0.02801957668582,0.4173531911406696,0.0012460760884808397
circulatory system,Noninfectious disorders of lymphatic channels,450.0,5584.0,524889.0,2.904222461386723,1.895136297151762,4.450607651755467,9.81962401718228e-07,5584.0,515582.0,2.9573766596096003,1.929713311771215,4.532319206927129,6.429851281574257e-07
circulatory system,Phlebitis and thrombophlebitis,451.0,880.0,525203.0,16.681621217968537,6.856472563305034,40.5859549338939,5.509490256398783e-10,880.0,521500.0,16.86591260339059,6.930874041196015,41.04229946388152,4.76302379581442e-10
circulatory system,Phlebitis and thrombophlebitis of lower extremities,451.2,140.0,525282.0,0.0254653086407433,8.149977724633632e-05,7.956855418245584,0.21045268729524694,140.0,516012.0,0.0260069676164137,8.30041782316047e-05,8.148533953483122,0.21329971215822324
circulatory system,Other venous embolism and thrombosis,452.0,4356.0,524980.0,5.260170772896444,3.277339335050045,8.442640120941721,6.100403414402549e-12,4356.0,513878.0,5.428277470049731,3.382127222541281,8.712326400811452,2.4206284929507796e-12
circulatory system,Varicose veins,454.0,356.0,525217.0,0.9898439128753604,0.3327098350646929,2.944881300746313,0.9853590825555714,356.0,512105.0,1.006243787140523,0.3382869351648243,2.993099803471767,0.9910707614386062
circulatory system,Chronic venous insufficiency [CVI],456.0,4494.0,524540.0,2.5442028717496736,1.8614282103688289,3.477420303701486,4.704677345446124e-09,4494.0,506770.0,2.627714143817718,1.922429584204033,3.5917474836814867,1.370707755525259e-09
circulatory system,Orthostatic hypotension,458.1,4693.0,524939.0,345.57969757005674,206.5979011462548,578.056827828412,7.330475733375299e-110,4693.0,512874.0,357.550328945847,213.7493540875455,598.0941475824201,4.112062258968864e-111
circulatory system,Iatrogenic hypotension,458.2,196.0,525269.0,394.1504873297918,39.77107994817179,3906.2204713768097,3.2670828602493937e-07,196.0,523881.0,394.909674552378,39.85033977344322,3913.483597422038,3.2362370638821387e-07
circulatory system,Hypotension NOS,458.9,14691.0,524421.0,753.6044241682288,529.5313662577822,1072.494783716849,2.1156696687963646e-296,14691.0,489223.0,855.330155728794,600.7754562355395,1217.742282421432,4.439379864660656e-307
circulatory system,Other disorders of circulatory system,459.0,4105.0,524993.0,3.146769261133685,1.9188020426107169,5.160593204988978,5.570096570243441e-06,4105.0,518359.0,3.242461955562327,1.977113764455912,5.317630033374599,3.1530299307760373e-06
circulatory system,Hemorrhage NOS,459.1,1997.0,524970.0,1.418345194834627,0.8603306028639155,2.338290751269116,0.17063308146069367,1997.0,503583.0,1.5152186591376329,0.9186504856520792,2.499195962835824,0.10360295764489776
circulatory system,Circulatory disease NEC,459.9,1082.0,525191.0,2.070648135714855,0.8538925551685995,5.021221552977271,0.10729290383374213,1082.0,501649.0,2.2249250558218203,0.9172182805309224,5.3970702602637886,0.07692035622643406
congenital anomalies,Cardiac and circulatory congenital anomalies,747.0,1222.0,525127.0,0.7133826550485813,0.3381851262939591,1.5048409079996068,0.37516946647697486,1222.0,523575.0,0.7140436327685545,0.3385335926944023,1.506078925400968,0.3764139705286117
congenital anomalies,Cardiac congenital anomalies,747.1,9439.0,524023.0,1.0025598547917256,0.7755247254105894,1.296059596175812,0.9844305602301177,9439.0,511571.0,1.0227752905046028,0.7911844887824775,1.3221559695596778,0.8635047258026032
congenital anomalies,Cardiac shunt/ heart septal defect,747.11,46527.0,521178.0,0.3878886291388113,0.3322322436818,0.4528687130057403,4.300576645943251e-33,46527.0,503781.0,0.4009926108468508,0.3434586918218434,0.4681642298841004,6.247603863120758e-31
congenital anomalies,Valvular heart disease/ heart chambers,747.12,19944.0,523441.0,0.5245402042026066,0.4189905720799083,0.6566792767175632,1.8151098972639483e-08,19944.0,510699.0,0.535274594914165,0.427565144070689,0.6701175152695642,4.9792860303591964e-08
congenital anomalies,Congenital anomalies of great vessels,747.13,38936.0,520381.0,1.126351497562561,0.9897967507053188,1.281745666630432,0.07116346143532147,38936.0,495772.0,1.1702172345608282,1.0285087987911885,1.3314503266016442,0.016996159062189466
congenital anomalies,Congenital anomalies of peripheral vascular system,747.2,2534.0,524920.0,0.2920040281777042,0.1712687757866562,0.4978511236526783,6.122925884715043e-06,2534.0,521058.0,0.292959272226749,0.1718406759596305,0.4994459821828726,6.462212131180068e-06
congenital anomalies,"Anomalies of respiratory system, congenital",748.0,1415.0,525101.0,1.442200054262055,0.7510526598007065,2.769367725913375,0.2713419069890211,1415.0,522318.0,1.4518168005077388,0.7558863184666297,2.7884775405279147,0.2629072071009536
